time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=3, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=7, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=13, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=17, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=23, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=27, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=33, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=37, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=43, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=47, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=52, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=20, tm_sec=57, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=2, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=6, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=12, tm_wday=0, tm_yday=193, tm_isdst=0): DL Model dectected, ship
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=12, tm_hour=18, tm_min=21, tm_sec=16, tm_wday=0, tm_yday=193, tm_isdst=0): Notification sent for Vessel Not Breach, ship
